Location,Date,Round,player,opponent,player_rank,opponent_rank,player_hand,player_ht,player_nationality,player_age,opponent_hand,opponent_ht,opponent_nationality,opponent_age,win
London,07/03/2017,Round of 128,Haas T.,Bemelmans R.,258.0,124.0,R,188.0,GER,46.0,L,183.0,BEL,32.1,0
London,07/03/2017,Round of 128,Marchenko I.,Vesely J.,117.0,48.0,R,185.0,UKR,32.0,L,198.0,CZE,25.4,0
London,07/03/2017,Round of 128,Wawrinka S.,Medvedev D.,3.0,49.0,R,183.0,SUI,33.7,R,198.0,RUS,22.8,0
London,07/03/2017,Round of 128,Olivo R.,Dzumhur D.,89.0,83.0,R,180.0,ARG,27.9,R,172.0,BIH,26.7,0
London,07/03/2017,Round of 128,Kicker N.,Johnson S.,94.0,31.0,R,178.0,ARG,32.0,R,188.0,USA,29.1,0
London,07/04/2017,Round of 128,Escobedo E.,Pavlasek A.,74.0,136.0,R,185.0,MEX,23.1,R,185.0,CZE,30.0,0
London,07/04/2017,Round of 128,Berankis R.,Darcis S.,196.0,61.0,R,175.0,LTU,28.5,R,178.0,BEL,34.8,0
London,07/04/2017,Round of 128,Ward A.,Edmund K.,869.0,50.0,R,185.0,GBR,34.0,R,188.0,GBR,24.1,0
London,07/04/2017,Round of 128,Gasquet R.,Ferrer D.,27.0,39.0,R,185.0,FRA,32.8,R,175.0,ESP,36.7,0
London,07/04/2017,Round of 128,Daniel T.,Kukushkin M.,92.0,118.0,R,191.0,JPN,25.9,R,183.0,KAZ,31.1,0
London,07/04/2017,Round of 128,Mahut N.,Youzhny M.,78.0,82.0,R,190.0,FRA,37.0,R,183.0,RUS,42.0,0
London,07/04/2017,Round of 128,Tomic B.,Zverev M.,59.0,30.0,R,193.0,AUS,26.2,L,190.0,GER,31.5,0
London,07/04/2017,Round of 128,Thompson J.,Ramos-Vinolas A.,86.0,22.0,R,183.0,AUS,24.6,L,188.0,ESP,36.0,0
