Round,player,opponent,player_hand,player_ht,player_age,opponent_hand,opponent_ht,opponent_age,win,player_rank,opponent_rank,is_player_home_country,is_opponent_home_country,year,month,day,dayofweek
Round of 32,Federer R.,Berdych T.,R,185.0,37.4,R,196.0,33.2,1,1.0,10.0,False,False,2017,1,20,4
Round of 32,Goffin D.,Karlovic I.,R,180.0,28.1,R,208.0,39.8,1,7.0,20.0,False,False,2017,1,21,5
Round of 32,Thiem D.,Paire B.,R,185.0,25.3,R,196.0,29.6,1,3.0,19.0,False,False,2017,1,21,5
Round of 32,Nadal R.,Zverev A.,L,185.0,32.6,R,198.0,21.7,1,1.0,3.0,False,False,2017,1,21,5
Round of 32,Raonic M.,Simon G.,R,196.0,28.0,R,183.0,34.0,1,3.0,23.0,False,False,2017,1,21,5
Round of 32,Monfils G.,Kohlschreiber P.,R,193.0,32.3,R,178.0,35.2,1,6.0,22.0,False,False,2017,1,21,5
Round of 32,Dimitrov G.,Gasquet R.,R,188.0,27.6,R,185.0,32.8,1,3.0,18.0,False,False,2017,1,21,5
Round of 16,Zverev M.,Murray A.,L,190.0,31.5,R,190.0,31.6,1,26.0,1.0,False,False,2017,1,22,6
Round of 16,Wawrinka S.,Seppi A.,R,183.0,33.7,R,190.0,34.8,1,3.0,35.0,False,False,2017,1,22,6
Round of 16,Federer R.,Nishikori K.,R,185.0,37.4,R,178.0,29.0,1,1.0,4.0,False,False,2017,1,22,6
Round of 16,Goffin D.,Thiem D.,R,180.0,28.1,R,185.0,25.3,1,7.0,3.0,False,False,2017,1,23,0
Round of 16,Dimitrov G.,Istomin D.,R,188.0,27.6,R,188.0,32.3,1,3.0,57.0,False,False,2017,1,23,0
Round of 16,Nadal R.,Monfils G.,L,185.0,32.6,R,193.0,32.3,1,1.0,6.0,False,False,2017,1,23,0
Quarterfinals,Federer R.,Zverev M.,R,185.0,37.4,L,190.0,31.3,1,1.0,26.0,False,False,2017,1,24,1
Quarterfinals,Dimitrov G.,Goffin D.,R,188.0,27.6,R,180.0,28.0,1,3.0,7.0,False,False,2017,1,25,2
Quarterfinals,Nadal R.,Raonic M.,L,185.0,32.6,R,196.0,28.0,1,1.0,3.0,False,False,2017,1,25,2
